system_id,system_name,status,expected_hospital_count_total,expected_acute_hospital_count,expected_system_bed_count,expected_physician_count,expected_linked_hospital_rows,expected_linked_acute_rows,actual_hospital_count_total,actual_acute_hospital_count,actual_system_bed_count,actual_physician_count,actual_linked_hospital_rows,actual_linked_acute_rows
HSI00000090,Baxter Regional Medical Center,pass,1,1,169,75,1,1,1,1,169,75,1,1
HSI00000094,Bayhealth,pass,2,2,396,321,2,2,2,2,396,321,2,2
HSI00000096,Baylor Scott and White Health,pass,31,25,3840,3943,31,25,31,25,3840,3943,31,25
HSI00000097,Baystate Health,pass,4,4,939,1153,4,4,4,4,939,1153,4,4
HSI00000098,Beacon Health System,pass,5,4,702,468,5,4,5,4,702,468,5,4
HSI00000100,Beaufort Memorial Hospital,pass,1,1,167,114,1,1,1,1,167,114,1,1
HSI00000103,Beebe Healthcare,pass,1,1,210,191,1,1,1,1,210,191,1,1
HSI00000105,Bellin Health Systems,pass,3,2,204,301,3,2,3,2,204,301,3,2
HSI00000106,Beloit Health System,pass,1,1,97,121,1,1,1,1,97,121,1,1
HSI00000107,Benefis Health System,pass,3,3,362,218,3,3,3,3,362,218,3,3
HSI00000109,Berkshire Health Systems,pass,2,2,262,337,2,2,2,2,262,337,2,2
HSI00000113,University Health System,pass,1,1,657,540,1,1,1,1,657,540,1,1
HSI00000114,Billings Clinic,pass,13,13,474,620,13,13,13,13,474,620,13,13
HSI00000116,Blanchard Valley Health System,pass,2,2,177,145,2,2,2,2,177,145,2,2
HSI00000117,Blessing Health System,pass,2,2,334,233,2,2,2,2,334,233,2,2
HSI00000118,Blount Memorial Hospital,pass,1,1,145,134,1,1,1,1,145,134,1,1
HSI00000130,Boston Childrens Hospital,pass,1,1,485,2200,1,1,1,1,485,2200,1,1
HSI00000131,Boston Medical Center,pass,1,1,442,1789,1,1,1,1,442,1789,1,1
HSI00000132,Boulder Community Health,pass,1,1,139,207,1,1,1,1,139,207,1,1
HSI00000135,Bozeman Deaconess Hospital,pass,1,1,139,189,1,1,1,1,139,189,1,1
HSI00000139,Bronson Healthcare Group,pass,5,4,602,538,5,4,5,4,602,538,5,4
HSI00000140,BronxCare Health System,pass,1,1,454,415,1,1,1,1,454,415,1,1
HSI00000143,Bryan Health,pass,8,8,700,250,8,8,8,8,700,250,8,8
HSI00000146,Butler Health System,pass,2,2,332,317,2,2,2,2,332,317,2,2
HSI00000147,CAMC Health System,pass,8,8,1087,727,8,8,8,8,1087,727,8,8
HSI00000148,CGH Medical Center,pass,1,1,95,70,1,1,1,1,95,70,1,1
HSI00000152,Christus Health,pass,32,26,3916,1928,32,26,32,26,3916,1928,32,26
HSI00000154,Cabell Huntington Hospital,pass,3,3,740,848,3,3,3,3,740,848,3,3
HSI00000155,CalvertHealth,pass,1,1,78,65,1,1,1,1,78,65,1,1
HSI00000156,Cambridge Health Alliance,pass,1,1,225,533,1,1,1,1,225,533,1,1
HSI00000159,Campbell County Health,pass,1,1,66,79,1,1,1,1,66,79,1,1
HSI00000161,Cape Cod Healthcare,pass,2,2,320,491,2,2,2,2,320,491,2,2
HSI00000162,Cape Fear Valley Health System,pass,6,4,811,507,6,4,6,4,811,507,6,4
HSI00000164,Capital Health System,pass,2,2,382,514,2,2,2,2,382,514,2,2
HSI00000165,Capital Region Health Care,pass,3,3,317,372,3,3,3,3,317,372,3,3
HSI00000166,Care New England Health System,pass,3,2,570,1262,3,2,3,2,570,1262,3,2
HSI00000169,Carepoint Health,pass,3,3,408,208,3,3,3,3,408,208,3,3
HSI00000170,Carilion Clinic,pass,7,7,838,1111,7,7,7,7,838,1111,7,7
HSI00000171,Caromont Health System,pass,1,1,424,272,1,1,1,1,424,272,1,1
HSI00000172,CarolinaEast Health System,pass,1,1,306,160,1,1,1,1,306,160,1,1
HSI00000178,Carson Tahoe Health,pass,3,1,175,114,3,1,3,1,175,114,3,1
HSI00000180,Skagit Regional Health,pass,2,2,185,282,2,2,2,2,185,282,2,2
HSI00000182,Catawba Valley Medical Center,pass,1,1,200,103,1,1,1,1,200,103,1,1
HSI00000186,Catholic Health,pass,6,6,1724,747,6,6,6,6,1724,747,6,6
HSI00000188,Catholic Medical Center,pass,1,1,262,158,1,1,1,1,262,158,1,1
HSI00000189,Cayuga Medical Center,pass,2,2,114,160,2,2,2,2,114,160,2,2
HSI00000190,Cedars Sinai Health System,pass,4,4,1972,3754,4,4,4,4,1972,3754,4,4
HSI00000192,Centra Health,pass,5,4,562,381,5,4,5,4,562,381,5,4
HSI00000193,CentraCare,pass,10,10,650,585,10,10,10,10,650,585,10,10
HSI00000194,Centrastate Healthcare System,pass,1,1,240,92,1,1,1,1,240,92,1,1
HSI00000197,Central Maine Healthcare Corporation,pass,3,3,237,272,3,3,3,3,237,272,3,3
HSI00000203,Erlanger Health System,pass,3,3,800,573,3,3,3,3,800,573,3,3
HSI00000205,Chesapeake Regional Healthcare,pass,1,1,302,139,1,1,1,1,302,139,1,1
HSI00000206,Cheyenne Regional Medical Center,pass,2,1,147,162,2,1,2,1,147,162,2,1
HSI00000207,Childrens Minnesota,pass,2,2,420,414,2,2,2,2,420,414,2,2
